#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 492.000000 -2.183711 13.521897 24.549841
 493.000000 -1.870634 16.471238 24.599841
 494.000000 -1.978709 16.042401 24.649841
 495.000000 -2.130069 14.432020 24.699840
 496.000000 -1.861026 16.614270 24.749840
 497.000000 -2.101413 14.906025 24.799839
 498.000000 -2.296140 11.937752 24.849839
 499.000000 -2.319670 11.586503 24.899839
 500.000000 -2.221280 13.280987 24.949839
 501.000000 -1.906821 16.704901 24.999838
 502.000000 -2.160312 14.311890 25.049838
 503.000000 -1.937349 16.675523 25.099838
 504.000000 -2.082298 15.464059 25.149838
 505.000000 -2.434105 9.828273 25.199837
 506.000000 -2.667365 6.214866 25.249837
 507.000000 -2.030782 16.118163 25.299837
 508.000000 -1.788861 16.826679 25.349837
 509.000000 -2.235769 13.387332 25.399836
 510.000000 -1.639494 15.441080 25.449836
 511.000000 -1.619121 15.190807 25.499836
 512.000000 -2.562047 7.874295 25.549836
 513.000000 -2.577874 7.676378 25.599835
 514.000000 -2.615069 7.158467 25.649835
 515.000000 -2.452772 9.820288 25.699834
 516.000000 -2.725069 5.694601 25.749834
 517.000000 -2.659035 6.656326 25.799834
 518.000000 -2.646855 6.881700 25.849834
 519.000000 -2.575636 8.001120 25.899834
 520.000000 -2.543296 8.558651 25.949834
 521.000000 -2.719790 6.002917 25.999834
 522.000000 -2.667160 6.785097 26.049834
 523.000000 -2.705537 6.296834 26.099833
 524.000000 -2.844962 4.563723 26.149833
 525.000000 -2.891374 4.083326 26.199833
 526.000000 -2.722192 6.211344 26.249832
 527.000000 -2.680905 6.826107 26.299832
 528.000000 -2.496924 9.624968 26.349831
 529.000000 -2.852966 4.690388 26.399831
 530.000000 -2.621224 7.815207 26.449831
 531.000000 -2.908989 4.133667 26.499830
 532.000000 -2.700893 6.778063 26.549830
 533.000000 -2.806829 5.440519 26.599829
 534.000000 -2.737395 6.385530 26.649829
 535.000000 -2.615736 8.119376 26.699829
 536.000000 -2.691921 7.097006 26.749828
 537.000000 -2.630846 8.001654 26.799828
 538.000000 -2.650238 7.776821 26.849827
 539.000000 -2.830467 5.419763 26.899827
 540.000000 -2.609880 8.443224 26.949827
 541.000000 -2.839892 5.392177 26.999826
 542.000000 -2.620223 8.386274 27.049826
 543.000000 -2.891291 4.849297 27.099825
 544.000000 -2.806858 5.953202 27.149824
 545.000000 -2.654476 8.039360 27.199824
 546.000000 -2.756237 6.710607 27.249824
 547.000000 -2.834635 5.741393 27.299824
 548.000000 -2.737905 7.052888 27.349823
 549.000000 -2.734078 7.153889 27.399823
 550.000000 -2.760237 6.856207 27.449823
 551.000000 -2.771843 6.752932 27.499822
 552.000000 -2.830838 6.034512 27.549821
 553.000000 -2.664159 8.286879 27.599821
 554.000000 -2.813991 6.348152 27.649821
 555.000000 -2.777091 6.880486 27.699820
 556.000000 -2.895910 5.395311 27.749820
 557.000000 -2.761676 7.180119 27.799819
 558.000000 -2.846536 6.123336 27.849819
 559.000000 -2.952009 4.840755 27.899818
 560.000000 -2.814996 6.628978 27.949818
 561.000000 -2.955121 4.898746 27.999818
 562.000000 -2.940842 5.125012 28.049817
 563.000000 -2.744758 7.676328 28.099817
 564.000000 -2.795679 7.069842 28.149816
 565.000000 -2.976569 4.820299 28.199816
 566.000000 -2.876386 6.129605 28.249816
 567.000000 -2.709950 8.304788 28.299816
 568.000000 -2.712845 8.318057 28.349815
 569.000000 -2.669595 8.915967 28.399815
 570.000000 -2.685276 8.767552 28.449815
 571.000000 -2.872525 6.404442 28.499814
 572.000000 -2.777984 7.680432 28.549814
 573.000000 -2.888661 6.291642 28.599814
 574.000000 -2.729633 8.394471 28.649813
 575.000000 -2.788471 7.692726 28.699813
 576.000000 -2.897138 6.322929 28.749813
 577.000000 -3.058148 4.298848 28.799813
 578.000000 -2.924858 6.054393 28.849812
 579.000000 -2.796393 7.773280 28.899812
 580.000000 -2.602788 10.195540 28.949812
 581.000000 -2.948103 5.877410 28.999812
 582.000000 -2.865226 7.020373 29.049812
 583.000000 -2.613086 10.193106 29.099812
 584.000000 -2.841277 7.422950 29.149811
 585.000000 -2.651332 9.834526 29.199811
 586.000000 -2.908383 6.623451 29.249811
 587.000000 -2.872772 7.149960 29.299810
 588.000000 -2.591044 10.658770 29.349810
 589.000000 -2.700188 9.433738 29.399810
 590.000000 -2.643316 10.155631 29.449809
 591.000000 -2.668883 9.906646 29.499809
 592.000000 -2.763791 8.796454 29.549809
 593.000000 -2.629855 10.457644 29.599808
 594.000000 -2.617598 10.647893 29.649808
 595.000000 -2.834503 8.009548 29.699807
 596.000000 -2.625933 10.644475 29.749807
 597.000000 -2.763864 9.033073 29.799806
 598.000000 -2.992397 5.929036 29.849806
 599.000000 -2.636428 10.651171 29.899805
 600.000000 -2.715268 9.776517 29.949805
 601.000000 -2.856027 7.989434 29.999805
 602.000000 -2.737433 9.601164 30.049805
 603.000000 -2.845192 8.236517 30.099805
 604.000000 -2.804187 8.842376 30.149804
 605.000000 -2.676622 10.472520 30.199804
 606.000000 -2.723694 9.965547 30.249804
 607.000000 -2.854495 8.297928 30.299804
 608.000000 -2.816355 8.873811 30.349804
 609.000000 -2.766831 9.574359 30.399803
 610.000000 -2.766998 9.622226 30.449803
 611.000000 -2.901960 7.811289 30.499802
 612.000000 -2.902002 7.860669 30.549801
 613.000000 -2.913596 7.739918 30.599801
 614.000000 -2.799981 9.386059 30.649800
 615.000000 -2.888139 8.211464 30.699800
 616.000000 -2.606042 11.706670 30.749800
 617.000000 -2.815323 9.322552 30.799799
 618.000000 -2.630781 11.548552 30.849799
 619.000000 -2.788610 9.771089 30.899798
 620.000000 -2.755730 10.239764 30.949798
 621.000000 -2.967205 7.273650 30.999798
 622.000000 -2.937454 7.783844 31.049797
